Model F1 Jaccard lDDToligo TMscore DockQ_Avg
T1174TS125_3o 75.0 0.70 0.600 0.686 0.306
T1174TS399_3o 75.0 0.70 0.600 0.686 0.306
T1174TS225_1o 69.7 0.74 0.700 0.466 0.275
T1174TS320_3o 71.3 0.67 0.701 0.618 0.288
T1174TS248_5o 74.1 0.66 0.531 0.359 0.266
T1174TS035_5o 74.1 0.66 0.531 0.359 0.266
T1174TS150_5o 70.2 0.69 0.512 0.389 0.236
T1174TS423_3o 65.3 0.66 0.679 0.451 0.266
T1174TS187_3o 65.3 0.66 0.679 0.451 0.266
T1174TS278_5o 66.7 0.69 0.685 0.535 0.278
T1174TS434_5o 70.5 0.66 0.643 0.557 0.266
T1174TS320_5o 70.0 0.68 0.683 0.609 0.293
T1174TS011_5o 70.5 0.66 0.643 0.557 0.266
T1174TS188_1o 67.3 0.69 0.683 0.422 0.273
T1174TS169_4o 67.3 0.69 0.683 0.422 0.273
T1174TS374_2o 66.2 0.71 0.694 0.432 0.290
T1174TS037_4o 66.5 0.67 0.669 0.536 0.280
T1174TS037_3o 65.7 0.69 0.683 0.586 0.279
T1174TS147_5o 65.6 0.67 0.529 0.412 0.233
T1174TS225_2o 65.5 0.67 0.695 0.442 0.274
T1174TS462_5o 63.4 0.60 0.673 0.590 0.242
T1174TS462_4o 63.8 0.61 0.676 0.588 0.247
T1174TS462_3o 64.3 0.60 0.676 0.573 0.243
T1174TS091_5o 63.4 0.65 0.534 0.321 0.258
T1174TS091_4o 62.1 0.71 0.561 0.317 0.236
T1174TS493_4o 66.3 0.67 0.614 0.407 0.264
T1174TS147_3o 67.4 0.67 0.573 0.540 0.271
T1174TS073_2o 64.2 0.65 0.565 0.568 0.250
T1174TS288_2o 64.2 0.65 0.565 0.568 0.250
T1174TS074_2o 63.9 0.65 0.564 0.568 0.250
T1174TS423_5o 62.9 0.59 0.483 0.484 0.201
T1174TS074_3o 63.6 0.65 0.702 0.453 0.284
T1174TS288_3o 63.3 0.67 0.701 0.662 0.282
T1174TS423_2o 62.4 0.59 0.504 0.563 0.247
T1174TS187_2o 62.4 0.59 0.504 0.563 0.247
T1174TS073_4o 60.0 0.64 0.677 0.448 0.268
T1174TS288_4o 60.0 0.64 0.677 0.448 0.268
T1174TS074_4o 60.6 0.64 0.677 0.645 0.272
T1174TS074_5o 57.6 0.56 0.639 0.583 0.216
T1174TS073_5o 57.7 0.57 0.641 0.583 0.217
T1174TS288_5o 57.7 0.57 0.641 0.583 0.217
T1174TS073_3o 58.2 0.63 0.607 0.454 0.237
T1174TS399_4o 57.7 0.67 0.574 0.643 0.273
T1174TS291_1o 58.7 0.59 0.651 0.433 0.240
T1174TS054_4o 57.7 0.67 0.574 0.643 0.273
T1174TS125_4o 57.7 0.67 0.574 0.643 0.273
T1174TS350_1o 58.7 0.59 0.651 0.433 0.240
T1174TS091_2o 56.0 0.62 0.565 0.269 0.216
T1174TS169_3o 58.1 0.69 0.684 0.542 0.258
T1174TS098_2o 58.1 0.69 0.684 0.542 0.258
T1174TS298_4o 57.0 0.67 0.690 0.520 0.258
T1174TS091_3o 55.7 0.64 0.548 0.313 0.219
T1174TS188_4o 58.1 0.64 0.629 0.564 0.215
T1174TS169_2o 58.1 0.64 0.629 0.564 0.215
T1174TS205_4o 57.1 0.63 0.623 0.657 0.256
T1174TS446_5o 52.7 0.52 0.621 0.603 0.206
T1174TS461_5o 52.7 0.52 0.621 0.603 0.206
T1174TS131_1o 58.1 0.55 0.451 0.350 0.198
T1174TS423_1o 51.8 0.61 0.644 0.520 0.203
T1174TS187_1o 51.8 0.61 0.644 0.520 0.203
T1174TS131_4o 57.4 0.54 0.455 0.378 0.204
T1174TS131_2o 53.7 0.57 0.442 0.538 0.193
T1174TS188_2o 51.7 0.54 0.490 0.335 0.170
T1174TS147_4o 50.3 0.64 0.613 0.549 0.203
T1174TS374_5o 53.8 0.53 0.450 0.533 0.190
T1174TS091_1o 48.9 0.57 0.517 0.364 0.199
T1174TS374_3o 49.4 0.56 0.506 0.526 0.190
T1174TS131_3o 53.8 0.51 0.445 0.560 0.200
T1174TS131_5o 51.9 0.55 0.440 0.548 0.200
T1174TS187_4o 46.9 0.55 0.419 0.518 0.175
T1174TS423_4o 46.9 0.55 0.419 0.518 0.175
T1174TS248_2o 42.3 0.57 0.348 0.579 0.234
T1174TS035_2o 42.3 0.57 0.348 0.579 0.234
T1174TS493_5o 47.9 0.59 0.464 0.609 0.227
T1174TS225_4o 46.0 0.54 0.486 0.552 0.218
T1174TS169_5o 44.3 0.54 0.532 0.418 0.192
T1174TS098_3o 44.3 0.54 0.532 0.418 0.192
T1174TS188_3o 44.3 0.54 0.532 0.418 0.192
T1174TS433_5o 48.0 0.37 0.406 0.331 0.131
T1174TS441_5o 48.0 0.37 0.406 0.331 0.131
T1174TS225_5o 43.1 0.50 0.498 0.381 0.206
T1174TS188_5o 37.8 0.55 0.433 0.494 0.162
T1174TS312_4o 0.0 0.06 0.363 0.249 0.004
T1174TS098_5o 0.0 0.08 0.362 0.320 0.007
T1174TS312_2o 0.0 0.10 0.353 0.293 0.002
T1174TS441_1o 0.1 0.02 0.246 0.227 0.007
T1174TS312_5o 0.0 0.08 0.357 0.293 0.002
T1174TS433_1o 0.1 0.02 0.246 0.227 0.007
T1174TS433_4o 0.0 0.01 0.254 0.269 0.007
T1174TS441_4o 0.0 0.01 0.254 0.269 0.007
T1174TS312_3o 0.0 0.06 0.355 0.294 0.003
T1174TS312_1o 0.0 0.06 0.356 0.288 0.002
T1174TS098_4o 0.0 0.08 0.382 0.267 0.004
T1174TS433_2o 0.0 0.00 0.263 0.275 0.010
T1174TS441_2o 0.0 0.00 0.263 0.275 0.010
T1192TS439_4o 75.0 0.69 0.792 0.822 0.723
T1192TS239_4o 75.0 0.69 0.792 0.822 0.723
T1192TS229_4o 75.0 0.69 0.792 0.822 0.723
T1192TS494_5o 74.2 0.67 0.727 0.780 0.713
T1192TS462_5o 56.6 0.54 0.697 0.834 0.442
T1192TS477_1o 70.1 0.61 0.785 0.830 0.682
T1192TS180_5o 60.2 0.55 0.729 0.836 0.469
T1192TS462_2o 65.2 0.57 0.768 0.839 0.512
T1192TS494_4o 68.1 0.61 0.803 0.848 0.538
T1192TS462_1o 66.4 0.57 0.779 0.834 0.526
T1192TS098_3o 66.4 0.57 0.779 0.834 0.526
T1192TS462_4o 67.1 0.57 0.776 0.843 0.523
T1192TS462_3o 67.0 0.57 0.773 0.839 0.520
T1192TS180_2o 65.6 0.57 0.766 0.840 0.509
T1192TS446_3o 56.3 0.49 0.649 0.504 0.872
T1192TS180_4o 66.4 0.57 0.778 0.834 0.523
T1192TS180_3o 66.5 0.57 0.771 0.841 0.517
T1192TS180_1o 65.9 0.58 0.772 0.842 0.519
T1192TS131_1o 51.6 0.45 0.572 0.343 0.888
T1192TS446_4o 54.8 0.46 0.647 0.423 0.861
T1192TS131_4o 49.1 0.42 0.569 0.373 0.892
T1192TS390_3o 49.2 0.43 0.567 0.275 0.851
T1192TS446_1o 50.5 0.45 0.584 0.486 0.653
T1192TS278_3o 61.8 0.57 0.781 0.846 0.522
T1192TS390_2o 49.1 0.40 0.573 0.222 0.886
T1192TS131_2o 50.3 0.43 0.574 0.229 0.895
T1192TS071_1o 61.6 0.54 0.746 0.595 0.459
T1192TS131_5o 49.2 0.43 0.571 0.386 0.870
T1192TS320_5o 73.1 0.65 0.853 0.876 0.837
T1192TS131_3o 49.1 0.43 0.564 0.301 0.870
T1192TS320_4o 71.8 0.64 0.852 0.880 0.835
T1192TS239_3o 72.1 0.65 0.848 0.874 0.837
T1192TS229_3o 72.1 0.65 0.848 0.874 0.837
T1192TS439_1o 72.1 0.65 0.848 0.874 0.837
T1192TS278_4o 71.5 0.64 0.839 0.879 0.816
T1192TS298_3o 67.1 0.59 0.820 0.883 0.750
T1192TS360_5o 67.1 0.59 0.820 0.883 0.750
T1192TS494_3o 69.7 0.62 0.813 0.869 0.791
T1192TS278_1o 72.0 0.65 0.838 0.876 0.816
T1192TS239_2o 70.6 0.62 0.842 0.877 0.827
T1192TS229_2o 70.6 0.62 0.842 0.877 0.827
T1192TS439_2o 70.6 0.62 0.842 0.877 0.827
T1192TS348_1o 69.3 0.61 0.844 0.880 0.824
T1192TS494_1o 70.5 0.62 0.850 0.876 0.838
T1192TS446_2o 41.6 0.38 0.576 0.477 0.556
T1192TS398_3o 44.9 0.48 0.651 0.851 0.492
T1192TS071_2o 65.2 0.57 0.791 0.360 0.471
T1192TS320_3o 70.2 0.60 0.849 0.879 0.832
T1192TS239_1o 70.2 0.61 0.850 0.882 0.838
T1192TS158_3o 70.3 0.61 0.843 0.881 0.826
T1192TS320_1o 69.8 0.62 0.844 0.884 0.817
T1192TS229_1o 70.2 0.61 0.850 0.882 0.838
T1192TS086_3o 70.3 0.61 0.844 0.881 0.825
T1192TS390_1o 69.8 0.62 0.844 0.884 0.817
T1192TS439_3o 70.2 0.61 0.850 0.882 0.838
T1192TS239_5o 70.6 0.60 0.849 0.875 0.835
T1192TS229_5o 70.6 0.60 0.849 0.875 0.835
T1192TS439_5o 70.6 0.60 0.849 0.875 0.835
T1192TS494_2o 69.3 0.62 0.843 0.893 0.819
T1192TS350_2o 71.3 0.63 0.841 0.875 0.834
T1192TS320_2o 69.9 0.60 0.855 0.880 0.843
T1192TS291_2o 71.3 0.63 0.841 0.875 0.834
T1192TS350_1o 70.9 0.63 0.841 0.875 0.832
T1192TS291_5o 71.5 0.64 0.841 0.877 0.834
T1192TS147_1o 72.7 0.66 0.835 0.951 0.846
T1192TS291_1o 70.9 0.63 0.841 0.875 0.832
T1192TS350_5o 71.5 0.64 0.841 0.877 0.834
T1192TS374_5o 66.1 0.57 0.817 0.603 0.764
T1192TS374_4o 67.8 0.59 0.831 0.358 0.802
T1192TS350_3o 71.0 0.62 0.840 0.875 0.833
T1192TS291_3o 71.0 0.62 0.840 0.875 0.833
T1192TS037_5o 69.6 0.63 0.840 0.553 0.811
T1192TS003_1o 69.6 0.61 0.851 0.883 0.831
T1192TS367_1o 69.6 0.61 0.851 0.883 0.831
T1192TS158_5o 69.3 0.61 0.845 0.885 0.820
T1192TS086_5o 69.3 0.61 0.845 0.885 0.820
T1192TS003_4o 69.3 0.61 0.845 0.885 0.820
T1192TS367_4o 69.3 0.61 0.845 0.885 0.820
T1192TS003_3o 69.7 0.61 0.850 0.883 0.832
T1192TS367_3o 69.7 0.61 0.850 0.883 0.832
T1192TS374_1o 68.1 0.58 0.845 0.884 0.820
T1192TS037_2o 70.5 0.63 0.840 0.821 0.813
T1192TS348_5o 68.2 0.59 0.845 0.884 0.829
T1192TS348_3o 68.4 0.59 0.846 0.883 0.828
T1192TS158_2o 69.3 0.60 0.847 0.882 0.830
T1192TS003_2o 68.8 0.60 0.847 0.881 0.830
T1192TS367_2o 68.8 0.60 0.847 0.881 0.830
T1192TS086_2o 69.3 0.60 0.847 0.882 0.830
T1192TS348_2o 69.4 0.60 0.846 0.877 0.827
T1192TS037_1o 68.1 0.62 0.834 0.662 0.805
T1192TS398_4o 54.6 0.47 0.552 0.812 0.763
T1192TS073_5o 66.0 0.54 0.846 0.893 0.823
T1192TS390_4o 37.5 0.35 0.523 0.496 0.587
T1192TS037_3o 68.3 0.59 0.841 0.834 0.813
T1192TS291_4o 69.0 0.60 0.841 0.876 0.834
T1192TS350_4o 69.0 0.60 0.841 0.876 0.834
T1192TS348_4o 67.9 0.59 0.845 0.885 0.829
T1192TS037_4o 69.6 0.62 0.838 0.533 0.815
T1192TS374_2o 68.3 0.60 0.844 0.758 0.818
T1192TS360_1o 60.6 0.52 0.758 0.892 0.681
T1192TS298_5o 60.6 0.52 0.758 0.892 0.681
T1192TS205_5o 64.3 0.53 0.806 0.840 0.782
T1192TS003_5o 68.1 0.59 0.844 0.491 0.818
T1192TS073_3o 63.6 0.53 0.840 0.877 0.818
T1192TS086_4o 68.1 0.59 0.844 0.491 0.818
T1192TS158_4o 68.1 0.59 0.844 0.491 0.818
T1192TS367_5o 68.1 0.59 0.844 0.491 0.818
T1192TS073_4o 65.6 0.53 0.848 0.879 0.829
T1192TS119_5o 65.6 0.53 0.839 0.877 0.836
T1192TS073_2o 65.7 0.53 0.847 0.878 0.827
T1192TS119_2o 64.8 0.52 0.841 0.877 0.814
T1192TS074_2o 65.6 0.53 0.844 0.878 0.826
T1192TS119_4o 65.2 0.53 0.840 0.882 0.833
T1192TS119_1o 65.1 0.52 0.839 0.876 0.821
T1192TS165_2o 54.0 0.46 0.551 0.832 0.739
T1192TS278_5o 68.7 0.59 0.853 0.876 0.837
T1192TS390_5o 42.7 0.38 0.513 0.338 0.591
T1192TS119_3o 65.1 0.53 0.841 0.883 0.836
T1192TS185_3o 60.1 0.51 0.806 0.872 0.764
T1192TS446_5o 40.1 0.36 0.559 0.393 0.439
T1192TS185_4o 60.5 0.52 0.800 0.871 0.759
T1192TS205_2o 62.9 0.52 0.825 0.883 0.783
T1192TS071_5o 34.9 0.32 0.643 0.265 0.234
T1192TS074_1o 62.5 0.52 0.844 0.880 0.829
T1192TS288_4o 62.2 0.52 0.848 0.880 0.829
T1192TS073_1o 62.2 0.52 0.848 0.880 0.829
T1192TS288_5o 62.2 0.52 0.848 0.880 0.829
T1192TS086_1o 66.9 0.56 0.845 0.841 0.829
T1192TS158_1o 66.9 0.56 0.845 0.841 0.829
T1192TS150_1o 61.8 0.52 0.840 0.878 0.818
T1192TS165_5o 51.8 0.46 0.586 0.825 0.709
T1192TS248_2o 19.9 0.24 0.624 0.856 0.421
T1192TS035_2o 19.9 0.24 0.624 0.856 0.421
T1192TS374_3o 64.7 0.57 0.841 0.700 0.814
T1192TS398_1o 28.2 0.41 0.622 0.819 0.347
T1192TS205_1o 59.6 0.49 0.806 0.853 0.802
T1192TS150_3o 60.4 0.50 0.820 0.879 0.764
T1192TS185_5o 61.2 0.54 0.815 0.871 0.766
T1192TS165_3o 45.1 0.47 0.573 0.862 0.613
T1192TS205_4o 59.3 0.47 0.816 0.868 0.816
T1192TS185_2o 61.6 0.55 0.812 0.869 0.768
T1192TS185_1o 53.8 0.48 0.793 0.871 0.753
T1192TS298_1o 56.9 0.45 0.840 0.875 0.790
T1192TS360_2o 56.9 0.45 0.840 0.875 0.790
T1192TS035_1o 18.7 0.21 0.642 0.862 0.432
T1192TS248_1o 18.7 0.21 0.642 0.862 0.432
T1192TS035_3o 18.7 0.22 0.639 0.858 0.426
T1192TS248_3o 18.7 0.22 0.639 0.858 0.426
T1192TS165_1o 43.6 0.44 0.627 0.856 0.620
T1192TS071_4o 33.1 0.31 0.624 0.369 0.224
T1192TS205_3o 55.2 0.43 0.788 0.880 0.784
T1192TS165_4o 27.9 0.39 0.622 0.790 0.321
T1192TS398_5o 28.2 0.39 0.621 0.795 0.322
T1192TS248_4o 25.8 0.27 0.670 0.880 0.504
T1192TS035_4o 25.8 0.27 0.670 0.880 0.504
T1192TS360_4o 47.8 0.44 0.799 0.852 0.782
T1192TS298_2o 47.8 0.44 0.799 0.852 0.782
T1192TS398_2o 23.2 0.36 0.549 0.713 0.274
T1192TS248_5o 60.1 0.56 0.674 0.783 0.458
T1192TS150_5o 52.7 0.45 0.837 0.876 0.798
T1192TS035_5o 60.1 0.56 0.674 0.783 0.458
T1192TS187_3o 14.4 0.13 0.203 0.153 0.870
T1192TS187_4o 14.2 0.13 0.203 0.146 0.863
T1192TS187_5o 14.2 0.13 0.202 0.153 0.867
T1192TS444_4o 38.8 0.28 0.794 0.888 0.788
T1192TS187_1o 13.1 0.12 0.202 0.146 0.841
T1192TS187_2o 13.4 0.13 0.202 0.153 0.840
T1192TS444_1o 38.9 0.28 0.792 0.886 0.803
T1192TS444_5o 37.3 0.27 0.786 0.888 0.766
T1192TS423_1o 13.4 0.12 0.203 0.154 0.838
T1192TS444_2o 37.2 0.27 0.787 0.876 0.792
T1192TS150_4o 38.3 0.39 0.774 0.885 0.713
T1192TS150_2o 35.6 0.29 0.774 0.879 0.788
T1192TS360_3o 28.4 0.29 0.482 0.883 0.724
T1192TS298_4o 28.4 0.29 0.482 0.883 0.724
T1192TS444_3o 27.7 0.22 0.742 0.875 0.665
T1192TS098_2o 25.2 0.24 0.378 0.880 0.742
T1192TS098_4o 25.2 0.24 0.378 0.880 0.742
T1192TS278_2o 1.1 0.11 0.570 0.455 0.136
T1192TS188_2o 10.2 0.18 0.380 0.695 0.235
T1192TS188_5o 10.2 0.18 0.380 0.695 0.235
T1192TS188_4o 10.2 0.18 0.380 0.695 0.235
T1192TS169_1o 10.2 0.18 0.380 0.695 0.235
T1192TS169_2o 10.2 0.18 0.380 0.695 0.235
T1192TS169_3o 10.2 0.18 0.380 0.695 0.235
T1192TS098_5o 23.0 0.22 0.287 0.881 0.732
T1192TS169_4o 10.2 0.18 0.380 0.695 0.235
T1192TS098_1o 23.0 0.22 0.287 0.881 0.732
T1192TS188_3o 10.2 0.18 0.380 0.695 0.235
T1192TS423_3o 0.1 0.00 0.161 0.146 0.108
T1192TS169_5o 0.8 0.13 0.185 0.594 0.083
T1192TS188_1o 0.8 0.13 0.185 0.594 0.083
T1192TS447_2o 0.0 0.00 0.475 0.180 0.051
T1192TS447_5o 0.0 0.01 0.487 0.239 0.047
T1192TS447_3o 0.0 0.00 0.479 0.259 0.046
T1192TS447_4o 0.0 0.01 0.487 0.239 0.047
T1192TS447_1o 0.0 0.00 0.480 0.251 0.046
T1192TS423_5o 0.4 0.00 0.155 0.147 0.873
T1192TS423_4o 0.1 0.00 0.157 0.153 0.910
T1192TS125_4o 0.0 0.04 0.451 0.166 0.005
T1192TS399_3o 0.0 0.03 0.528 0.181 0.005
T1192TS054_4o 0.0 0.04 0.451 0.166 0.005
T1192TS399_5o 0.0 0.08 0.493 0.164 0.007
T1192TS399_1o 0.0 0.08 0.548 0.157 0.005
T1192TS125_2o 0.0 0.04 0.538 0.211 0.010
T1192TS423_2o 0.0 0.00 0.159 0.188 0.005
T1192TS054_5o 0.0 0.08 0.493 0.164 0.007
T1192TS399_4o 0.0 0.04 0.451 0.166 0.005
T1192TS125_5o 0.0 0.08 0.493 0.164 0.007
T1192TS054_2o 0.0 0.04 0.538 0.211 0.010
T1192TS054_3o 0.0 0.03 0.528 0.181 0.005
T1192TS125_1o 0.0 0.08 0.548 0.157 0.005
T1192TS125_3o 0.0 0.03 0.528 0.181 0.005
T1192TS054_1o 0.0 0.08 0.548 0.157 0.005
T1192TS399_2o 0.0 0.04 0.538 0.211 0.010
